BoardState,Outcome
"[[0, 0, 0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 0, 2, 0], [0, 1, 0, 0, 0, 0, 0, 2, 0], [0, 1, 0, 0, 0, 0, 2, 1, 0], [0, 2, 0, 1, 0, 0, 1, 2, 1], [0, 1, 2, 1, 0, 0, 2, 2, 1], [0, 2, 2, 1, 0, 0, 1, 2, 2], [0, 1, 2, 2, 1, 2, 2, 1, 2], [1, 2, 2, 1, 1, 1, 2, 1, 1]]",Loss
"[[0, 0, 0, 0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 2, 0, 2, 0, 0, 0, 0], [1, 0, 1, 0, 1, 0, 0, 1, 0], [1, 0, 2, 0, 2, 2, 0, 2, 0], [2, 0, 2, 0, 2, 1, 1, 2, 2], [1, 1, 2, 0, 2, 1, 2, 1, 1], [2, 1, 1, 0, 1, 1, 1, 2, 2], [1, 1, 2, 1, 1, 2, 2, 2, 1]]",Win
"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 2, 2, 0, 0, 2], [0, 0, 2, 0, 2, 1, 1, 0, 1], [1, 2, 1, 2, 2, 1, 2, 1, 1], [2, 1, 2, 1, 1, 2, 1, 2, 2]]",Loss
"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 2, 0], [0, 0, 0, 2, 0, 2, 0, 1, 0], [0, 2, 1, 1, 0, 2, 2, 1, 0], [0, 1, 1, 2, 0, 2, 1, 2, 0], [2, 1, 2, 1, 1, 1, 2, 1, 2]]",Loss
"[[0, 0, 0, 0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 0, 0, 0, 0, 1], [0, 2, 0, 0, 0, 0, 0, 0, 1], [0, 1, 0, 2, 1, 1, 0, 2, 1], [0, 2, 2, 1, 2, 1, 0, 2, 2], [2, 2, 1, 1, 2, 1, 0, 2, 1], [1, 2, 2, 1, 1, 1, 0, 1, 2]]",Win
"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 2, 0, 0, 0], [1, 0, 0, 0, 0, 2, 0, 0, 0], [2, 0, 1, 2, 0, 2, 0, 1, 1], [1, 1, 1, 2, 0, 2, 1, 1, 1], [2, 2, 2, 1, 2, 1, 1, 2, 2]]",Loss
"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 2, 0, 0, 0, 0], [0, 2, 1, 2, 1, 0, 0, 0, 0], [1, 2, 1, 1, 1, 2, 1, 2, 1]]",Loss
"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 2, 0, 0, 2], [0, 1, 0, 0, 0, 1, 0, 0, 2], [0, 2, 0, 0, 2, 1, 1, 0, 1], [0, 1, 0, 0, 2, 2, 1, 1, 1], [0, 1, 2, 2, 2, 1, 2, 2, 1]]",Win
"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0, 2, 0, 0], [0, 2, 1, 2, 0, 0, 1, 0, 0], [0, 1, 2, 1, 1, 0, 2, 2, 0], [1, 1, 2, 2, 2, 1, 1, 2, 2]]",Win
"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0], [2, 2, 0, 0, 0, 1, 0, 2, 0], [1, 1, 0, 2, 0, 1, 2, 1, 2], [2, 1, 2, 1, 2, 1, 1, 2, 1], [1, 2, 1, 2, 2, 1, 2, 1, 2]]",Win
